category,precision,recall,f1-score,support
161,0.3023255813953488,0.203125,0.2429906542056074,64.0
162,0.3333333333333333,0.1171171171171171,0.1733333333333333,111.0
163,0.21875,0.3381642512077294,0.2656546489563567,207.0
164,0.3586497890295358,0.3281853281853282,0.3427419354838709,259.0
165,0.2051282051282051,0.0707964601769911,0.1052631578947368,113.0
166,0.7,0.0707070707070707,0.128440366972477,99.0
167,0.4285714285714285,0.0909090909090909,0.15,99.0
168,0.5531914893617021,0.25,0.3443708609271523,208.0
169,0.4705882352941176,0.1454545454545454,0.2222222222222222,110.0
170,0.4076923076923077,0.3173652694610778,0.3569023569023569,167.0
171,0.3571428571428571,0.0531914893617021,0.0925925925925925,94.0
172,0.3412698412698413,0.581081081081081,0.43,148.0
174,0.5714285714285714,0.0930232558139534,0.16,129.0
175,0.4090909090909091,0.135678391959799,0.2037735849056604,199.0
176,0.449438202247191,0.3389830508474576,0.3864734299516908,118.0
177,0.2093023255813953,0.2783505154639175,0.2389380530973451,97.0
178,0.5594405594405595,0.3389830508474576,0.4221635883905013,236.0
179,0.2941176470588235,0.0462962962962962,0.08,108.0
180,0.6446280991735537,0.4382022471910112,0.5217391304347826,178.0
181,0.4814814814814814,0.6046511627906976,0.5360824742268042,172.0
182,0.2586206896551724,0.1111111111111111,0.155440414507772,135.0
183,0.2631578947368421,0.0609756097560975,0.099009900990099,82.0
184,0.188034188034188,0.2444444444444444,0.2125603864734299,90.0
185,0.391025641025641,0.4066666666666667,0.3986928104575163,150.0
186,0.6108108108108108,0.6277777777777778,0.6191780821917808,180.0
187,0.1944444444444444,0.1272727272727272,0.1538461538461538,55.0
188,0.068259385665529,0.1257861635220125,0.0884955752212389,159.0
189,0.2650602409638554,0.2716049382716049,0.2682926829268293,81.0
190,0.4,0.0384615384615384,0.0701754385964912,52.0
191,0.6666666666666666,0.21875,0.3294117647058823,192.0
192,0.4178082191780822,0.3160621761658031,0.359882005899705,193.0
193,0.4375,0.2372881355932203,0.3076923076923076,177.0
194,0.0517928286852589,0.1048387096774193,0.0693333333333333,124.0
195,0.1818181818181818,0.048780487804878,0.0769230769230769,41.0
196,0.7945205479452054,0.2521739130434782,0.3828382838283828,230.0
197,0.0,0.0,0.0,136.0
198,0.2788461538461538,0.25,0.2636363636363636,116.0
199,0.3333333333333333,0.2590361445783132,0.2915254237288135,166.0
200,0.1764705882352941,0.0700389105058365,0.1002785515320334,257.0
201,0.7222222222222222,0.0921985815602836,0.1635220125786163,141.0
202,0.3376623376623376,0.146067415730337,0.2039215686274509,178.0
203,0.0936329588014981,0.1572327044025157,0.1173708920187793,159.0
204,0.1120689655172413,0.3170731707317073,0.1656050955414013,41.0
205,0.3076923076923077,0.0189573459715639,0.0357142857142857,211.0
206,0.3461538461538461,0.1882845188284518,0.2439024390243902,239.0
207,0.1601123595505618,0.3097826086956521,0.2111111111111111,184.0
208,0.4,0.0240963855421686,0.0454545454545454,83.0
209,0.1208791208791208,0.1,0.1094527363184079,110.0
210,0.39,0.5223214285714286,0.4465648854961832,224.0
211,0.50199203187251,0.3987341772151899,0.4444444444444445,316.0
212,0.1978021978021978,0.1005586592178771,0.1333333333333333,179.0
213,0.0242424242424242,0.0655737704918032,0.0353982300884955,61.0
214,0.3571428571428571,0.062111801242236,0.1058201058201058,161.0
215,0.1896551724137931,0.3188405797101449,0.2378378378378378,69.0
216,0.4361702127659574,0.2628205128205128,0.328,156.0
217,1.0,0.0126582278481012,0.0249999999999999,158.0
218,0.375,0.0576923076923076,0.0999999999999999,52.0
219,0.4285714285714285,0.0789473684210526,0.1333333333333333,76.0
220,0.6353591160220995,0.3662420382165605,0.4646464646464646,314.0
221,0.0930232558139534,0.0392156862745098,0.0551724137931034,102.0
